ID,Text,Label
0,I definitely feel calmer and more relaxed after unplugging for 4days. Great tips on setting technology boundaries. http://fb.me/1C2O8aHxd ,1
1,Listing to Lorde and playing sims . I feel relaxed.,1
2,"Tone as in how does the work environment feel? Whats the mood? Relaxed? Focused? Serious? Fun? I'm sure it varies, but generally?",1
3,i finished hw early and feel too relaxed rn something's not adding up,1
4,Literally just had thee best massage. I feel so relaxed and content,1
5,finished an illustration n i feel good about it! i cant wait to find something stable enough i have time to be relaxed like this at night,1
6,I feel so bad but I can't lie!! So I just say oh be looks relaxed!!!! He's a sweetheart but can't put that cloud9 down,1
7,Been so long since I could just feel relaxed without a worry in my head #lovelife,1
8,I feel so relaxed after hearing the whole set  https://twitter.com/bbcr1/status/834011652752187392 …,1
9,. JCNSJFN I feeL so Relaxed and Weirdly energized now. I feel gr8.,1
10,I'm getting a pedicure and I feel so relaxed,1
11,"i dont know these ppl, but the driver started playing Isaiah Rashad and suddenly i feel more relaxed",1
12,I do not rush so you will feel relaxed with me!! http://planetcallgirls.com/?fichaID=94    Brighton Escortspic.twitter.com/ihGAlsWdFZ,1
13,I feel so relaxed shopping alone ,1
14,Got so much accomplished today and I feel so relieved and so relaxed now,1
15,I like when I get shit in order...I feel so relaxed. Finally got rid of that damn 6!,1
16,I finished my home work for tomorrow & Thursday & I feel relaxed ,1
17,@BBCRadio2 after hearing any song hannah sings I feel cleansed and 10 times more relaxed than at the start,1
18,Busy day luckily I had booked a pedicure @PennyhillPark Spa. Thank you Marta for looking after me & making me feel relaxed. #qualitytime,1
19,Do I have to fuck you so you will feel relaxed?,1
20,I may need to watch that a few times to really feel quite relaxed...,1
21,"i try to limit any tv or anything loud before bed, so they feel more relaxed. Book in bed and lights out #parenthouruk",1
22,We need another three goals and then I'll feel relaxed #QPR,1
23,This rain explains why I just feel so relaxed and sleepy today ,1
24,"Post workout laying in my sports bra, waiting for my eggs to boil and watching No Strings Attached. I feel so relaxed lol",1
25,"@the1975 's cover of Sade's ""by your side"" is soooo chilled. I feel relaxed af",1
26,I embroidered all afternoon I feel so relaxed,1
27,"Orita rated us 4 out of 5!

I was made to feel relaxed by both the receptionist and Madga.  Madga answered all my... http://fb.me/8cccMBY04 ",1
28,It's kinda crazy that after listening to just one Ed Sheeran song I instantly feel more relaxed.,1
29,It's a rather quiet night. A passing meteor is obscured by clouds. Another day in paradise. I feel relaxed.,1
30,ED Sheeran's songs alway drifts me to another realm... I feel so calm and relaxed right now @edsheeran thank you very much,1
31,been listening to chill lofi hip hop tracks all day honestly and i could not feel more relaxed,1
32,i'm so blessed to find out about sungha jung. i feel so relaxed.,1
33,I'll be hiking this night. One big star twinkles brightly. Sands sifts in the wind. I feel relaxed.,1
34,I haven't smoked in awhile but i finally feel relaxed ,1
35,"I like IPSOS predictions. They make Jubilee feel relaxed, make NASA work hard & make people feel annoyed @KTNNews @jamessmat @Donsarigo",1
36,[Im actually so fucking thankful i cant recover some accs like god i feel so relaxed now],1
37,I feel so relaxed and happy right now.,1
38,I had my first hydrotherapy experience yesterday with @JennRavenna. I feel so relaxed today! Can I just live in a hot tub? pic.twitter.com/guv3dMZzFQ,1
39,"where. When I do. Feel more relaxed. You'll always be safe in my arms. ""(He waited a moment and pulled her close giving her>",1
40,I feel relaxed ... minus this cold ,1
41,I really dunno why... But Black Ops 2 makes me feel like I'm home. — feeling relaxed,1
42,I feel relaxed just looking at it,1
43,"I just want him to feel happy, loved and relaxed.",1
44,"them to keep on stalking me. because I feel free when I'm on my fan account, I feel relaxed and can talk more. and when I have my friends +",1
45,Awesome!   I can't even imagine.  Did you feel relaxed?  I wouldn't have.,1
46,Breakcore has a sound to it that I just feel so relaxed when I hear it,1
47,I rearranged my room alil bit and the atmosphere feels so much better and relaxed.,1
48,Exams are approaching and i feel so relaxed seeing this post http://fb.me/8dXt9iLEV ,1
49,"He's definitely my vitamin.  Whenever I'm stressed, by just looking at his selcas I feel energized and relaxed.  pic.twitter.com/Celc3FN9wB",1
50,I love it! Makes me feel relaxed <3,1
51,The long weekend was so nice (except for the car issues) I still feel so relaxed,1
52,my students are taking a test too! i feel so relaxed :),1
53,aw hope it does I always used to feel relaxed more after goods swim. Hope u feeling better,1
54,Tired is an understatement for how I feel today but at least I'm feeling more relaxed than yesterday.,1
55,mischievous side out bc jin makes him feel so comfortable and relaxed.......i'm sorry for vomming on you i just,1
56,Feel relaxed whenever I see razorpay gateway on merchant side,1
57,I sometimes feel the most relaxed on a bus ride home after a tiring day. That is...if I actually get to sit.,1
58,"""spa day"" waaah i defintely feel relaxed af akdhakejs i love it i love u Lord",1
59,“The strength of Anastasia gave me more force. I feel more relaxed and confident.” - Dakota Johnson (F... https://tmblr.co/ZAFQPn2IjK0Cs ,1
60,Meditating helps. It really does.  I feel so relaxed. I feel so stress free for now. It just feels good. ,1
61,"I feel refreshed and relaxed this morning
It's weird",1
62,peppermint tea tastes good! It makes you feel refreshed and relaxed. I fell asleep easily after having some of that. /she nods +,1
63,I suddenly feel so much more relaxed about my term abroad?? I've been stressing about it since christmas but now I'm excited!!!,1
64,Is anyone else's hubs a total worry wart when it comes to yalls babies? I feel like I am so much more relaxed when it comes to L,1
65,"Wonderful massage last night, I feel relaxed and invigorated after a good nights sleep #relax #Eastcote #lovemassage",1
66,"Hell no, titties are life. I always feel more relaxed when egirls send me tittie pics. Shame I'm not an eboy anymore z.z",1
67,I feel so relaxed after I take one,1
68,It's a cheerful night. One small star is glorious. The ocean is low tide. I feel relaxed.,1
69,I've recently been using the smiling mind app to help with anxiety and honestly it's helping so much I feel so relaxed and at ease,1
70,I feel so relaxed after a good work out.,1
71,I'm so happy I feel so mf relaxed ,1
72,I'm on top of my homework right now and I feel so relaxed. Bless me for doing my homework so future me doesn't stress about it.,1
73,"Yes, it feels like that. Email meditation tip today: ""act relaxed as if at home."" I'm like, what if home feels hostile?",1
74,the lights looks so nice in my room. i feel so relaxed and at peace ahh,1
75,I do not rush so you will feel relaxed with me!! http://planetcallgirls.com/?fichaID=94    Brighton Escortspic.twitter.com/KlC51bjNFT,1
76,"@Gurmeetramrahim ji no wrds for ur blessings, i feel so relaxed dat u r wid me #tuesdaythought",1
77,"I feel so relaxed, I think I'm gonna treat myself to a bubble bath",1
78,So relaxed right now I can't feel my feet,1
79,"do you ever feel relaxed anymore?
just wondering cuz I dont",1
80,I feel like it's been years since I've relaxed lol,1
81,Confession: I feel asleep to one of @ArticulateASMR videos and woke up to @LanguorASMRI must have been so relaxed at 9:30pm,1
82,I feel like Corrine's hometown date felt the most relaxed and real. Everything else seemed so staged #teamcorn,1
83,like i feel relaxed and did freak out these past 2 days and i legitimately feel great and just ugh why didn't i discover this outlet sooner,1
84,I just want to escape and remember what it feels like to be happy and relaxed. #roadtrip #adventure #happiness #zenmode #mentalhealth,1
85,this band and this station is legit the ultimate chill zone ever I stg I feel so relaxed rn pic.twitter.com/bTU4YpdzF5,1
86,i feel so relaxed,1
87,I feel so relaxed ,1
88,Got out and had a good ride today. First time in months. I feel so relaxed afterwards. Almost need a cigarette. ,1
89,I really love it when our British co-workers talk. It makes me feel so relaxed -- even when they sound so agitated <3,1
90,I wish it was thunder-storming. Makes me feel more relaxed.,1
91,I feel so relaxed when I look into those beady eyes. ♪,1
92,I feel so relaxed,1
93,Between Dreamwash and Sympathy for the Skin it's impossible not to feel relaxed. I might have to go for the bath bomb now @lushcosmetics,1
94,"I feel like I wanna turn up tonight, but I am very relaxed rn",1
95,This #Vodka has me so relaxed.I feel like a hummingbird. pic.twitter.com/gebDxSsR8P,1
96,I found a cheaper pack of 50 so I got 2 bc I feel so relaxed seeing them chew those/not waking up to another pair of destroyed work shoes,1
97,I needed a self-care trip to Harlem more than I realized. I feel so relaxed now.,1
98,"Slept at 2 yet I feel relaxed, what's happening to me y'all",1
99,I feel so soft and relaxed rn you truly can't fuck with me,1
100,Doing my nighttime skin care is my favorite part of my day: I always feel so relaxed afterwards. #healthyskin,1
101,Another issue released to the printers. I feel more relaxed this time. Not sure if that's good or bad  #editorslife #blankspacesmag,1
102,I'm in such a great mood and I'm so relaxed and I feel good inside and out. All because @JColeNC .,1
103,As horrible as I feel I haven't felt this relaxed in a looonnnngggg time! — feeling peaceful,1
104,it makes you feel so much more relaxed it's unreal. I will miss it one week and feel so out of it!,1
105,"Like my limbs feel all heavy and relaxed, and I'm very sleepy. 10/10 will get wine headache at this point",1
106,I know I feel a lot more relaxed with my shoes off. #PsychRewatch,1
107,I haven't slept well for months . My body is so relaxed and recalibrate . Jesus this feels awesome,1
108,I feel like my hair looked thicker relaxed ,1
109,i nodded my head and was biting my lip feeling relaxed now and I started to feel the pleasure. I let out a small moan.-,1
110,I feel so relaxed right now I don't even know if that's good. ,1
111,I feel so relaxed now,1
